                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.76146,                0.43322,                0.94549,                0.99691,                      1,                  0.995,                0.83875,                0.65635,                0.33397,                0.92321,              0.0015248,              0.0015248,              0.0015248
                    122,                 0.8112,                0.47167,                0.99225,                0.99699,                      1,                  0.995,                0.85742,                0.63377,                0.34885,                 0.9283,              0.0015208,              0.0015208,              0.0015208
                    123,                0.78334,                0.46817,                0.97636,                0.99711,                      1,                  0.995,                0.87477,                0.56993,                0.34604,                0.88721,              0.0015169,              0.0015169,              0.0015169
                    124,                 0.6876,                0.42827,                0.92561,                 0.9971,                      1,                  0.995,                0.89128,                0.57056,                0.34039,                0.88007,              0.0015129,              0.0015129,              0.0015129
                    125,                0.73931,                0.40609,                0.94081,                0.99701,                      1,                  0.995,                 0.8959,                0.53581,                0.32343,                0.88124,               0.001509,               0.001509,               0.001509
                    126,                0.74146,                  0.428,                0.93457,                0.99701,                      1,                  0.995,                 0.8959,                0.53581,                0.32343,                0.88124,               0.001505,               0.001505,               0.001505
                    127,                0.76317,                0.43198,                0.95459,                0.99705,                      1,                  0.995,                0.86661,                0.60913,                0.32238,                0.90102,               0.001501,               0.001501,               0.001501
                    128,                0.74142,                0.41656,                0.96181,                0.99715,                      1,                  0.995,                0.88568,                0.58023,                0.30941,                0.88528,              0.0014971,              0.0014971,              0.0014971
                    129,                0.78882,                0.45543,                0.98553,                0.99718,                      1,                  0.995,                 0.8568,                0.62385,                0.33654,                0.89942,              0.0014931,              0.0014931,              0.0014931
                    130,                 0.9123,                0.61303,                  1.149,                0.99712,                      1,                  0.995,                 0.8441,                0.63123,                0.33376,                0.89854,              0.0014892,              0.0014892,              0.0014892
