                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.91228,                0.61881,                0.99355,                0.96567,                      1,                  0.995,                  0.676,                 1.1437,                0.59423,                 1.2516,              0.0017188,              0.0017188,              0.0017188
                     73,                 1.0646,                0.56603,                 1.0828,                0.94945,                0.95238,                0.97215,                0.63737,                 1.2085,                0.54917,                 1.3937,              0.0017149,              0.0017149,              0.0017149
                     74,                0.83159,                0.51618,                0.99887,                0.94945,                0.95238,                0.97215,                0.63737,                 1.2085,                0.54917,                 1.3937,              0.0017109,              0.0017109,              0.0017109
                     75,                0.92368,                0.55996,                 1.0565,                0.94945,                0.95238,                0.97215,                0.63737,                 1.2085,                0.54917,                 1.3937,               0.001707,               0.001707,               0.001707
                     76,                0.87096,                0.58159,                 1.0112,                0.95507,                0.95238,                0.99152,                0.68367,                 1.2623,                0.55699,                 1.4043,               0.001703,               0.001703,               0.001703
                     77,                0.84234,                0.50352,                0.99558,                0.95507,                0.95238,                0.99152,                0.68367,                 1.2623,                0.55699,                 1.4043,               0.001699,               0.001699,               0.001699
                     78,                0.97227,                0.52396,                0.98475,                0.95507,                0.95238,                0.99152,                0.68367,                 1.2623,                0.55699,                 1.4043,              0.0016951,              0.0016951,              0.0016951
                     79,                0.86218,                0.55529,                 1.0102,                0.99608,                      1,                  0.995,                0.69032,                 1.1509,                0.55972,                 1.2055,              0.0016911,              0.0016911,              0.0016911
                     80,                0.85563,                0.49423,                0.97197,                0.99608,                      1,                  0.995,                0.69032,                 1.1509,                0.55972,                 1.2055,              0.0016872,              0.0016872,              0.0016872
                     81,                 1.0188,                0.56428,                 1.0926,                0.99358,                      1,                  0.995,                0.69334,                 1.1532,                0.57084,                  1.194,              0.0016832,              0.0016832,              0.0016832
                     82,                  0.847,                0.49834,                 0.9768,                0.99358,                      1,                  0.995,                0.69334,                 1.1532,                0.57084,                  1.194,              0.0016792,              0.0016792,              0.0016792
                     83,                 0.7873,                0.49512,                 0.9922,                0.99358,                      1,                  0.995,                0.69334,                 1.1532,                0.57084,                  1.194,              0.0016753,              0.0016753,              0.0016753
                     84,                 0.8457,                0.49745,                0.99679,                0.99539,                      1,                  0.995,                0.70515,                 1.0815,                0.57375,                  1.148,              0.0016713,              0.0016713,              0.0016713
                     85,                0.74438,                0.44651,                0.96057,                0.99539,                      1,                  0.995,                0.70515,                 1.0815,                0.57375,                  1.148,              0.0016674,              0.0016674,              0.0016674
                     86,                0.74199,                0.46878,                0.95872,                0.99539,                      1,                  0.995,                0.70515,                 1.0815,                0.57375,                  1.148,              0.0016634,              0.0016634,              0.0016634
                     87,                 0.7891,                0.51639,                  1.005,                0.99579,                      1,                  0.995,                0.70934,                 1.0839,                0.53463,                 1.1487,              0.0016594,              0.0016594,              0.0016594
                     88,                0.78254,                0.49191,                0.97396,                0.99579,                      1,                  0.995,                0.70934,                 1.0839,                0.53463,                 1.1487,              0.0016555,              0.0016555,              0.0016555
                     89,                0.83996,                0.49203,                0.95101,                0.99697,                      1,                  0.995,                0.72812,                 1.1006,                0.49689,                 1.1277,              0.0016515,              0.0016515,              0.0016515
                     90,                0.78469,                0.46226,                0.94541,                0.99697,                      1,                  0.995,                0.72812,                 1.1006,                0.49689,                 1.1277,              0.0016476,              0.0016476,              0.0016476
                     91,                0.83941,                0.52923,                 1.0496,                0.99697,                      1,                  0.995,                0.72812,                 1.1006,                0.49689,                 1.1277,              0.0016436,              0.0016436,              0.0016436
                     92,                0.83518,                0.49174,                0.95218,                0.99336,                      1,                  0.995,                 0.6847,                 1.0809,                0.48294,                 1.1224,              0.0016396,              0.0016396,              0.0016396
                     93,                0.78779,                0.49898,                 1.0006,                0.99336,                      1,                  0.995,                 0.6847,                 1.0809,                0.48294,                 1.1224,              0.0016357,              0.0016357,              0.0016357
                     94,                0.76295,                0.45667,                0.94598,                0.99336,                      1,                  0.995,                 0.6847,                 1.0809,                0.48294,                 1.1224,              0.0016317,              0.0016317,              0.0016317
                     95,                0.73851,                0.46691,                0.96092,                0.98166,                      1,                  0.995,                 0.6982,                 1.0819,                0.50278,                 1.1348,              0.0016278,              0.0016278,              0.0016278
                     96,                0.69138,                0.45623,                0.91873,                0.98166,                      1,                  0.995,                 0.6982,                 1.0819,                0.50278,                 1.1348,              0.0016238,              0.0016238,              0.0016238
                     97,                0.71873,                0.47126,                0.90759,                0.96895,                      1,                  0.995,                0.66136,                 1.1201,                0.50631,                 1.1625,              0.0016198,              0.0016198,              0.0016198
                     98,                0.76712,                0.47621,                0.92738,                0.96895,                      1,                  0.995,                0.66136,                 1.1201,                0.50631,                 1.1625,              0.0016159,              0.0016159,              0.0016159
                     99,                0.79725,                0.47296,                0.98102,                0.96895,                      1,                  0.995,                0.66136,                 1.1201,                0.50631,                 1.1625,              0.0016119,              0.0016119,              0.0016119
                    100,                 0.7486,                0.46822,                0.92413,                0.95431,                      1,                  0.995,                 0.6496,                 1.1738,                0.53124,                 1.1772,               0.001608,               0.001608,               0.001608
                    101,                0.75011,                0.46109,                 0.9613,                0.95431,                      1,                  0.995,                 0.6496,                 1.1738,                0.53124,                 1.1772,               0.001604,               0.001604,               0.001604
                    102,                0.72888,                0.44346,                0.94859,                0.95431,                      1,                  0.995,                 0.6496,                 1.1738,                0.53124,                 1.1772,                 0.0016,                 0.0016,                 0.0016
                    103,                0.72221,                0.47234,                0.94293,                0.95346,                      1,                  0.995,                0.66597,                 1.1054,                0.52028,                 1.1465,              0.0015961,              0.0015961,              0.0015961
                    104,                0.78461,                0.47471,                0.92295,                0.95346,                      1,                  0.995,                0.66597,                 1.1054,                0.52028,                 1.1465,              0.0015921,              0.0015921,              0.0015921
                    105,                0.75809,                0.46532,                0.92252,                0.97291,                      1,                  0.995,                0.68548,                 1.0164,                0.48127,                 1.1266,              0.0015882,              0.0015882,              0.0015882
                    106,                0.75052,                0.48685,                0.92535,                0.97291,                      1,                  0.995,                0.68548,                 1.0164,                0.48127,                 1.1266,              0.0015842,              0.0015842,              0.0015842
                    107,                0.79976,                0.47903,                0.95484,                0.97291,                      1,                  0.995,                0.68548,                 1.0164,                0.48127,                 1.1266,              0.0015802,              0.0015802,              0.0015802
                    108,                0.74432,                0.48312,                0.96006,                0.95875,                      1,                  0.995,                0.68319,                 1.0783,                0.51443,                 1.1455,              0.0015763,              0.0015763,              0.0015763
                    109,                0.68774,                0.44569,                0.91123,                0.95875,                      1,                  0.995,                0.68319,                 1.0783,                0.51443,                 1.1455,              0.0015723,              0.0015723,              0.0015723
                    110,                 0.8047,                0.47842,                0.96228,                0.95875,                      1,                  0.995,                0.68319,                 1.0783,                0.51443,                 1.1455,              0.0015684,              0.0015684,              0.0015684
                    111,                0.73356,                0.45514,                 0.9056,                0.97863,                      1,                  0.995,                 0.6845,                 1.0655,                0.53751,                 1.1549,              0.0015644,              0.0015644,              0.0015644
                    112,                0.70837,                0.48765,                0.94953,                0.97863,                      1,                  0.995,                 0.6845,                 1.0655,                0.53751,                 1.1549,              0.0015604,              0.0015604,              0.0015604
                    113,                0.79116,                0.49007,                0.94807,                0.99415,                      1,                  0.995,                0.71512,                 1.0165,                0.46273,                 1.1349,              0.0015565,              0.0015565,              0.0015565
                    114,                 0.7042,                0.44468,                0.93903,                0.99415,                      1,                  0.995,                0.71512,                 1.0165,                0.46273,                 1.1349,              0.0015525,              0.0015525,              0.0015525
                    115,                0.69399,                0.46099,                0.93208,                0.99415,                      1,                  0.995,                0.71512,                 1.0165,                0.46273,                 1.1349,              0.0015486,              0.0015486,              0.0015486
                    116,                0.69843,                0.43559,                0.89453,                0.99431,                      1,                  0.995,                0.71917,                  1.091,                0.48495,                 1.1726,              0.0015446,              0.0015446,              0.0015446
                    117,                 0.7382,                0.42757,                0.92349,                0.99431,                      1,                  0.995,                0.71917,                  1.091,                0.48495,                 1.1726,              0.0015406,              0.0015406,              0.0015406
                    118,                0.70448,                0.45818,                0.88503,                0.99431,                      1,                  0.995,                0.71917,                  1.091,                0.48495,                 1.1726,              0.0015367,              0.0015367,              0.0015367
                    119,                0.69177,                0.43288,                 0.9323,                0.95399,                      1,                  0.995,                0.70171,                 1.0537,                0.50703,                 1.1482,              0.0015327,              0.0015327,              0.0015327
                    120,                0.76432,                0.43399,                0.96334,                0.95399,                      1,                  0.995,                0.70171,                 1.0537,                0.50703,                 1.1482,              0.0015288,              0.0015288,              0.0015288
                    121,                0.70106,                0.41762,                0.88953,                0.99424,                      1,                  0.995,                0.66314,                 1.0979,                0.47934,                 1.1867,              0.0015248,              0.0015248,              0.0015248
                    122,                0.66914,                0.41651,                0.92311,                0.99424,                      1,                  0.995,                0.66314,                 1.0979,                0.47934,                 1.1867,              0.0015208,              0.0015208,              0.0015208
                    123,                0.69445,                0.43996,                0.90711,                0.99424,                      1,                  0.995,                0.66314,                 1.0979,                0.47934,                 1.1867,              0.0015169,              0.0015169,              0.0015169
                    124,                0.61081,                0.44947,                0.86282,                0.99513,                      1,                  0.995,                0.65957,                 1.1452,                0.46949,                 1.2095,              0.0015129,              0.0015129,              0.0015129
                    125,                0.75997,                0.47046,                 0.9525,                0.99513,                      1,                  0.995,                0.65957,                 1.1452,                0.46949,                 1.2095,               0.001509,               0.001509,               0.001509
                    126,                0.67664,                0.45259,                0.89881,                0.99513,                      1,                  0.995,                0.65957,                 1.1452,                0.46949,                 1.2095,               0.001505,               0.001505,               0.001505
                    127,                0.76977,                0.53657,                 1.0403,                0.99415,                      1,                  0.995,                0.67715,                 1.1247,                0.49891,                 1.1993,               0.001501,               0.001501,               0.001501
                    128,                0.68909,                0.43374,                0.88387,                0.99415,                      1,                  0.995,                0.67715,                 1.1247,                0.49891,                 1.1993,              0.0014971,              0.0014971,              0.0014971
                    129,                0.64317,                0.40428,                0.89205,                0.99542,                      1,                  0.995,                0.72729,                 1.0329,                0.44282,                 1.1595,              0.0014931,              0.0014931,              0.0014931
                    130,                0.76267,                0.45376,                0.94664,                0.99542,                      1,                  0.995,                0.72729,                 1.0329,                0.44282,                 1.1595,              0.0014892,              0.0014892,              0.0014892
                    131,                0.70143,                0.44839,                0.93625,                0.99542,                      1,                  0.995,                0.72729,                 1.0329,                0.44282,                 1.1595,              0.0014852,              0.0014852,              0.0014852
                    132,                0.78863,                0.45826,                 1.0009,                0.99695,                      1,                  0.995,                0.72764,                 1.0342,                0.44411,                 1.1496,              0.0014812,              0.0014812,              0.0014812
                    133,                 0.7918,                0.44027,                0.96747,                0.99695,                      1,                  0.995,                0.72764,                 1.0342,                0.44411,                 1.1496,              0.0014773,              0.0014773,              0.0014773
                    134,                0.62849,                0.42425,                0.90606,                0.99695,                      1,                  0.995,                0.72764,                 1.0342,                0.44411,                 1.1496,              0.0014733,              0.0014733,              0.0014733
                    135,                0.76192,                0.41897,                0.91562,                0.94981,                      1,                0.99318,                0.66114,                 1.2239,                0.54307,                 1.2426,              0.0014694,              0.0014694,              0.0014694
                    136,                0.81181,                0.45169,                0.94517,                0.94981,                      1,                0.99318,                0.66114,                 1.2239,                0.54307,                 1.2426,              0.0014654,              0.0014654,              0.0014654
                    137,                0.81956,                0.46208,                0.97766,                0.99778,                      1,                  0.995,                0.66672,                 1.1299,                0.47639,                 1.1863,              0.0014614,              0.0014614,              0.0014614
                    138,                   0.85,                0.47088,                 1.0027,                0.99778,                      1,                  0.995,                0.66672,                 1.1299,                0.47639,                 1.1863,              0.0014575,              0.0014575,              0.0014575
                    139,                0.71644,                0.41721,                0.90374,                0.99778,                      1,                  0.995,                0.66672,                 1.1299,                0.47639,                 1.1863,              0.0014535,              0.0014535,              0.0014535
                    140,                0.70051,                0.42487,                0.95945,                0.99641,                      1,                  0.995,                0.71088,                 1.0569,                0.46811,                 1.1547,              0.0014496,              0.0014496,              0.0014496
                    141,                0.74299,                0.41213,                0.93938,                0.99641,                      1,                  0.995,                0.71088,                 1.0569,                0.46811,                 1.1547,              0.0014456,              0.0014456,              0.0014456
                    142,                0.67927,                0.43684,                0.91062,                0.99641,                      1,                  0.995,                0.71088,                 1.0569,                0.46811,                 1.1547,              0.0014416,              0.0014416,              0.0014416
                    143,                0.68157,                0.41024,                0.90193,                      1,                0.99369,                  0.995,                0.67462,                 1.1397,                0.47486,                 1.2266,              0.0014377,              0.0014377,              0.0014377
                    144,                0.65665,                0.39429,                0.87037,                      1,                0.99369,                  0.995,                0.67462,                 1.1397,                0.47486,                 1.2266,              0.0014337,              0.0014337,              0.0014337
                    145,                0.70391,                0.43462,                0.96509,                0.99682,                      1,                  0.995,                0.69292,                 1.1322,                0.45454,                 1.1958,              0.0014298,              0.0014298,              0.0014298
                    146,                 0.6427,                0.39844,                0.92476,                0.99682,                      1,                  0.995,                0.69292,                 1.1322,                0.45454,                 1.1958,              0.0014258,              0.0014258,              0.0014258
                    147,                0.68589,                0.39171,                0.91028,                0.99682,                      1,                  0.995,                0.69292,                 1.1322,                0.45454,                 1.1958,              0.0014218,              0.0014218,              0.0014218
                    148,                0.64266,                 0.3942,                0.91578,                0.99439,                      1,                  0.995,                0.72545,                 1.0792,                0.48229,                 1.1413,              0.0014179,              0.0014179,              0.0014179
                    149,                0.59808,                0.39371,                0.93899,                0.99439,                      1,                  0.995,                0.72545,                 1.0792,                0.48229,                 1.1413,              0.0014139,              0.0014139,              0.0014139
                    150,                0.66476,                0.40865,                0.89074,                0.99439,                      1,                  0.995,                0.72545,                 1.0792,                0.48229,                 1.1413,                0.00141,                0.00141,                0.00141
